Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-01-14,Pan's Labyrinth,2006,https://boxd.it/1Au1gr,5,,"In the real world: Spain of 1944, rebels vs Franco's folks. A honorable but ruthless Francoist army officer surrounds rebels in the hills. There is some torture and betrayal, associated drama leading to the units destruction despite the officer's efforts. His just-arrived step daughter (the incarnation of a princess of the underworld) escapes into a captivating fantasy world, drawn by Pan and his grasshopper like fairy-s. She has 3 adventure tests (the final being a test of lack of greed, finally dies and joins the underworld. ""Only men like you can follow orders just for the the sake of it."" - Doctor before death. https://www.facebook.com/groups/padyadhaaraa/permalink/434117286793080/",,2021-01-14
2021-01-14,Reign of Fire,2002,https://boxd.it/1Au1gB,,,hunt for the sole main dragon,,2021-01-14
2021-01-14,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/1Au1gL,3,,"Nautical, acrobatically adept sword fighters in a maritime adventure, contrived situations",,2021-01-14
2021-01-14,Princess Mononoke,1997,https://boxd.it/1Au1gV,5,,"Adventurer seeking to lift a curse from killing a hate twisted boar collaborates with Mononoke-hime of the enchanted forest to rescue the forest spirit beheaded by a collaboration of bounty hunters and miners with guns (made of rescued prostitutes and other males, led by female). This is art. Beautiful.",,2021-01-14
2021-01-14,Moana,2016,https://boxd.it/1Au1h5,5,,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right. 

Beautiful sentiments - heeding one's heart (Moana) vs tradition (her father) vs deep tradition (her grandmother). There is a hidden environmental message here. The classic hero's quest. Gave me the same feeling as watching Monoke Hime and Return of hanuman! Would love to watch an authentic Polynesian production, but even with the imagineered version my toddler son did fold hands in salute to Maui and the ocean god.",,2021-01-14
2021-01-14,Nausicaä of the Valley of the Wind,1984,https://boxd.it/1Au1hJ,5,,"After an apocalyptic war, toxic jungle spreads accross the earth, in the bowels of which the earth heals itself. This forest is defended by Ohm worms. Nausicaa of the valley of the wind rescues the Ohm worm captured by the miltaristic state, which is trying to revive a war robot - and foils their plan. The Ohm return her to life with their mysterious golden tentacle powers.",,2021-01-14
2021-01-14,Spirited Away,2001,https://boxd.it/1Au1hT,4,,"A little jap girl and parents enter the spirit/ kAmi world. The girl passes through many adventures, rescues parents, makes people happy, finds puppy love, returns.",,2021-01-14
2021-01-14,My Neighbor Totoro,1988,https://boxd.it/1Au1i3,4.5,,"Two girls missing their mother in the countryside befriend a benevolent wood-spirit Totoro (which only they see) and its multi legged cat bus; which helps them be happy.

Shows life of little kids in rural post war japan well.",,2021-01-14
2021-01-14,Kiki's Delivery Service,2014,https://boxd.it/1Au1id,4,,"13 yr old witch starts a new delivery business in a new city - has a great adventure, making new kind friends (painter in the woods, a baker couple, a plane-enthusiast boy, an old woman). Looses magic and the ability to fly when flying becomes a chore. Then regains it once she enjoys it again with the encouragement of friends when the boy is caught in a stuck dirigible! Simple dreams, kind people, communicates thrill and the importance of keeping in touch with one's passion.",,2021-01-14
2021-01-14,The Witches,1990,https://boxd.it/1Au1in,3,,"Nice kid movie. Kid transformed to mouse, forewarned by grandmother, turns the grand witch's plot to turn every kid into a mouse on the witches attending the convention themselves.",,2021-01-14
2021-01-14,The Lost Room,2006,https://boxd.it/1Au1ix,5,,"Once a typical room at a 1960s motel along U.S. Route 66, the Lost Room has existed outside of normal time and space since 1961, when what is referred to only as ""the Event"" took place. Miller got a key to this room, letting him move instantly from any door to another in the world! He must rescue his daughter stuck there by finding items from the room (which possess magic powers).",,2021-01-14
2021-01-14,Jonathan Strange & Mr Norrell,2015,https://boxd.it/1Au1iH,3.5,,"In England during the Napoleanic wars, Dr Norell and Mr Strange revive English magic, become rivals, as prophesized by the Raven King. This brings a fairy who likes making people his servants to our realm, putting him in mild conflict with the magicians.",,2021-01-14
2021-01-14,Return Of Hanuman,2007,https://boxd.it/1Au1j1,4.5,,"hanumAn returns to earth to help a bullied kid and other humans; ends up saving humanity (depicted as becoming asura-s) from the fruits of their karma (esp pollution of prakRti) from destroying them as the praLaya. Respectful to and oft consistent with the deva-s, RShi-s and the purANa-s - while injecting fun especially through modern references.",,2021-01-14
2021-01-14,Magadheera,2009,https://boxd.it/1Au1jb,5,,"A love triangle involving a princess, an evil senApati and a good warrior continues after their rebirth 400 years later in the modern age; involving a muslim conqueror, the betraying senApati, the reluctant king, bad omens, assisting magicians. The bhAva-s are wonderful. Plot is great.",,2021-01-14
2021-01-14,Damarukam,2012,https://boxd.it/1Au1jl,4,,"andhakAsura, trying to control the five bhUta-s tries to marry a special girl at the appointed muhUrta. But is thwarted by a mortal with help from shankara, who makes an appearance as a human. shiva's human form, dialogs and gentle actions are superb projection of shivaness in human form. Super opening scene. A good dRShya-kAvya.",,2021-01-14
2021-01-14,Bāhubali 2: The Conclusion,2017,https://boxd.it/1Au1jv,3.5,,"Classic tale of a lost prince of a popular kShatriya, fostered to youth by forest dwellers, seeks vengence, finding love in a rebel. Interesting battle scenes. Great special effects, but quite predictable. The only rasa that flowed well for me was the spirit of competition between bAhubalI and his rival.",,2021-01-14
2021-01-14,Bāhubali 2: The Conclusion,2017,https://boxd.it/1Au1jF,5,,"Greed, selfishness and vanity vs heartiness, love and honor set in with fine hindu kingdoms in the background Splendid, riveting special effects! Riveting plot! Flights of the imagination!",,2021-01-14
2021-01-14,Thiruvilayadal,1965,https://boxd.it/1Au1jP,3,,"various shivaliilaa tales narrated by pArvatI to muruga Full of Dravidian/ Tamil and feminist political propaganda, spoils the spirit of poetry, mocks brAhmaNa-s, special effects are mediocre and doesn't even get the stories straight (dAkShAyaNI and shiva fight!??). On the plus side, the structure is good - tale within tale, shivaliilaa theme fits well, dialogues are intelligent, some rasa oozes out here and there (although ostentatiously).",,2021-01-14
2021-01-14,Ghosts of Mars,2001,https://boxd.it/1Au1jZ,1,,stupid. 1/4.,,2021-01-14
2021-01-14,Wolf,1994,https://boxd.it/1Au1k9,,,3 become werewolves,,2021-01-14
2021-01-14,Paycheck,2003,https://boxd.it/1Au1kj,,,memory erased engineer unmakes time machine,,2021-01-14
2021-01-14,Twelve Monkeys,1995,https://boxd.it/1Au1kt,,,bad plague blamed on wrong group cant be stopped despite time travel,,2021-01-14
2021-01-14,Time Bandits,1981,https://boxd.it/1Au1kD,2.5,,"6 dwarves and a boy use a map of the defects in the universe (holes for time travel) for loot and adventure, with a final facedown with imprisoned satan who wants to get a hold of it (all this arranged by the creator as a test). Stupid.",,2021-01-14
2021-01-14,Edge of Tomorrow,2014,https://boxd.it/1Au1kN,5,,"A reluctant soldier accompanies a more experienced female soldier in a series of time-loops (whose memories he retains) during a fight with alien invaders (who are near-unbeatable because they use a similar time-loop to fix errors in their strategies). After a close contest, he manages to kill the alien queen.",,2021-01-14
2021-01-14,Murder on the Orient Express,2017,https://boxd.it/1Au1kX,,,poirot discovers an execution by 12 people involved in the armstrong case foils their attempt to fool him,,2021-01-14
2021-01-14,A Murder of Crows,1998,https://boxd.it/1Au1l7,,,lawyers get murdered.. according to stolen script published by a lawyer,,2021-01-14
