Date,Name,Year,Letterboxd URI,Rating
2021-01-14,Mad Max Beyond Thunderdome,1985,https://boxd.it/1YTm,3.5
2021-01-14,Transformers: Dark of the Moon,2011,https://boxd.it/16aC,0.5
2021-01-14,The Quest for Fire Adventure,1982,https://boxd.it/cLOU,2.5
2021-01-14,Interstellar,2014,https://boxd.it/4VZ8,4
2021-01-14,Looper,2012,https://boxd.it/ham,4
2021-01-14,Skyfall,2012,https://boxd.it/17Fc,2.5
2021-01-14,The World Is Not Enough,1999,https://boxd.it/1a94,3.5
2021-01-14,The Empire Strikes Back,1980,https://boxd.it/27Vw,3.5
2021-01-14,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,3.5
2021-01-14,Kill Bill: Vol. 1,2003,https://boxd.it/70w,5
2021-01-14,Zatoichi,1989,https://boxd.it/11gU,3
2021-01-14,The 36th Chamber of Shaolin,1978,https://boxd.it/1SXC,4
2021-01-14,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3
2021-01-14,My Name Is Nobody,1973,https://boxd.it/1YAE,3
2021-01-14,Mackenna's Gold,1969,https://boxd.it/1Hy2,3.5
2021-01-14,Once Upon a Time in the West,1968,https://boxd.it/2az4,5
2021-01-14,A Fistful of Dollars,1964,https://boxd.it/2auo,4
2021-01-14,For a Few Dollars More,1965,https://boxd.it/29eu,4
2021-01-14,The Hateful Eight,2015,https://boxd.it/8gw8,3.5
2021-01-14,Snatch,2000,https://boxd.it/2b7U,4
2021-01-14,Léon: The Professional,1994,https://boxd.it/2b8S,3.5
2021-01-14,Benji the Hunted,1987,https://boxd.it/1C7U,4
2021-01-14,Thackeray,2019,https://boxd.it/kWRm,4
2021-01-14,Edward Scissorhands,1990,https://boxd.it/2aZc,3
2021-01-14,Gladiator,2000,https://boxd.it/2b9m,3.5
2021-01-14,Ben-Hur,1959,https://boxd.it/29RQ,5
2021-01-14,The Last Samurai,2003,https://boxd.it/29ZA,5
2021-01-14,Samrat Chandragupt,1958,https://boxd.it/9zai,4
2021-01-14,Rudhramadevi,2015,https://boxd.it/a9Zm,2.5
2021-01-14,Bajirao Mastani,2015,https://boxd.it/ck2O,4
2021-01-14,Manikarnika,2017,https://boxd.it/kkAC,4
