Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1923820,Holy Bible: King James Version,Anonymous,"Anonymous, Anonymous",,"=""""","=""""",2,4.41,,Hardcover,1590,2008,1611,,2018/02/27,,,read,,,,1,,,0,,,,,
24128,The Merchant of Venice,William Shakespeare,"Shakespeare, William","Robert          Jackson, Barbara A. Mowat, Paul Werstine","=""0743477561""","=""9780743477567""",5,3.80,"Washington Square Press, Inc.",Paperback,337,1992,1596,,2018/02/27,,,read,,,,1,,,0,,,,,
478146,The Prize,Irving Wallace,"Wallace, Irving",,"=""0451094557""","=""9780451094551""",3,3.91,Signet,Paperback,704,1962,1962,,2018/02/27,,,read,,,,1,,,0,,,,,
78977,The Eleventh Commandment,Jeffrey Archer,"Archer, Jeffrey",,"=""0061013315""","=""9780061013317""",3,3.94,HarperTorch,Paperback,448,1999,1998,,2018/02/27,,,read,,,,1,,,0,,,,,
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",4,4.09,Random House: Modern Library,Paperback,272,2004,1890,,2018/02/27,,,read,,,,1,,,0,,,,,
875775,Mission,Patrick Tilley,"Tilley, Patrick",,"=""0316845426""","=""9780316845427""",1,4.10,Little Brown and Company,Paperback,0,1981,1981,,2018/02/27,,,read,,,,1,,,0,,,,,
296298,The Guns of Navarone,Alistair MacLean,"MacLean, Alistair",,"=""0449214729""","=""9780449214725""",3,4.14,Fawcett,Mass Market Paperback,410,1984,1957,,2018/02/27,,,read,,,,1,,,0,,,,,
148337,Where Eagles Dare,Alistair MacLean,"MacLean, Alistair",Clint Willis,"=""1560254556""","=""9781560254553""",3,4.14,Thunder's Mouth Press,Paperback,320,2002,1967,,2018/02/27,,,read,,,,1,,,0,,,,,
529804,Brain,Robin Cook,"Cook, Robin",,"=""0451157974""","=""9780451157973""",3,3.77,G.P. Putnam's Sons,Paperback,307,1982,1981,,2018/02/27,,,read,,,,1,,,0,,,,,
48811,Nancy Drew: #1-64,Carolyn Keene,"Keene, Carolyn",,"=""0448445867""","=""9780448445861""",4,4.22,Grosset & Dunlap,Hardcover,,2006,2006,,2018/02/27,,,read,,,,1,,,0,,,,,
7190,"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,"Dumas, Alexandre",,"=""""","=""""",5,4.07,Modern Library,Paperback,625,2001,1844,,2018/02/27,,,read,,,,1,,,0,,,,,
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""0140449264""","=""9780140449266""",5,4.26,Penguin Classics,Paperback,1312,2003,1844,,2018/02/27,,,read,,,,1,,,0,,,,,
162898,A Connecticut Yankee in King Arthur's Court,Mark Twain,"Twain, Mark",,"=""""","=""""",5,3.77,Simon  Schuster,Paperback,480,2007,1889,,2018/02/27,,,read,,,,1,,,0,,,,,
62446,The Prince and the Pauper,Mark Twain,"Twain, Mark",Everett H. Emerson,"=""0451528352""","=""9780451528353""",4,3.86,Signet,Paperback,240,2002,1881,,2018/02/27,,,read,,,,1,,,0,,,,,
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye","=""0143039563""","=""9780143039563""",4,3.91,Penguin Classics,Paperback,244,2006,1876,,2018/02/27,,,read,,,,1,,,0,,,,,
2956,The Adventures of Huckleberry Finn,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Walter Trier","=""0142437174""","=""9780142437179""",4,3.82,Penguin Classics,Paperback,327,2002,1884,,2018/02/27,,,read,,,,1,,,0,,,,,
